frame,rgyr,e2e,nhb,i3,i4,iL,bang_mean,bang_rms,tors_mean,alpha_frac,e_morse,e_angle,e_torsion,e_hydro,e_native,thermal,rmsd_native,rmsd_c1,rmsd_c2,rmsd_c3,rmsd_c4
930,8.9006,0.0000,206,37,34,135,97.76,41.74,2.94,0.372,12.4556,28.6417,251.4416,-1.7475,10.5929,0.9001,10.9797,10.9797,0.0000,0.0000,0.0000
940,8.8988,0.0000,205,31,36,138,97.77,41.79,1.92,0.372,12.2893,28.5755,251.3508,-1.7484,10.4976,0.8668,10.9788,10.9788,0.0000,0.0000,0.0000
950,8.8974,0.0000,210,27,42,141,97.53,41.55,1.08,0.366,12.7544,28.2499,252.2703,-1.7453,10.4809,0.8335,10.9781,10.9781,0.0000,0.0000,0.0000
960,8.8959,0.0000,214,39,40,135,97.58,41.65,0.93,0.366,12.9232,28.1880,251.9398,-1.7435,10.5556,0.8002,10.9772,10.9772,0.0000,0.0000,0.0000
970,8.8942,0.0000,215,43,37,135,97.71,41.77,2.02,0.362,12.6705,28.1256,251.5676,-1.7433,10.5289,0.7669,10.9762,10.9762,0.0000,0.0000,0.0000
980,8.8924,0.0000,213,39,38,136,97.78,41.79,3.37,0.355,12.2882,28.0980,252.5801,-1.7445,10.4375,0.7336,10.9753,10.9753,0.0000,0.0000,0.0000
990,8.8907,0.0000,218,42,45,131,97.89,41.77,1.90,0.362,11.9372,27.9887,252.7345,-1.7447,10.3464,0.7003,10.9745,10.9745,0.0000,0.0000,0.0000
1000,8.8891,0.0000,217,49,33,135,97.86,41.51,1.77,0.366,11.7806,27.8837,251.7565,-1.7450,10.2469,0.6670,10.9736,10.9736,0.0000,0.0000,0.0000
1010,8.8874,0.0000,216,43,36,137,97.99,41.56,1.66,0.369,11.6061,27.7994,251.4381,-1.7452,10.1537,0.6337,10.9727,10.9727,0.0000,0.0000,0.0000
1020,8.8858,0.0000,216,39,42,135,98.15,41.59,1.67,0.376,11.4085,27.6944,251.0074,-1.7453,10.1002,0.6004,10.9719,10.9719,0.0000,0.0000,0.0000
1030,8.8841,0.0000,219,49,35,135,98.34,41.77,-0.84,0.369,11.2191,27.6443,251.3019,-1.7456,10.0567,0.5671,10.9710,10.9710,0.0000,0.0000,0.0000
